Country Name,"School enrollment, tertiary (% gross)","School enrollment, secondary (% gross)","School enrollment, primary (% gross)","Government expenditure on education, total (% of government expenditure)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)","Birth rate, crude (per 1,000 people)","Mortality rate, infant (per 1,000 live births)","Life expectancy at birth, total (years)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Urban population (% of total population),Access to electricity (% of population),People using safely managed drinking water services (% of population)/at least basic,"Physicians (per 1,000 people)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Inflation, consumer prices (annual %)"
Belgium,80.14,156.08,102.62,12.23,98.76,99.60,10.20,3.40,82.00,5.30,98.04,100.00,99.71,3.15,5.36,85.77,10.60,1.44
Benin,11.14,47.91,116.71,17.71,42.36,60.95,37.68,58.00,60.45,93.90,47.86,40.00,67.36,0.06,1.47,10.89,87.67,-0.71
Burkina Faso,7.10,41.31,94.54,20.89,41.22,58.87,36.69,54.20,60.04,113.42,29.98,17.60,49.00,0.09,4.69,14.02,85.37,-3.23
Bangladesh,24.01,72.56,115.95,11.33,74.68,94.86,18.35,25.30,72.81,77.68,37.41,92.20,58.18,0.64,4.38,40.40,54.36,5.59
Bulgaria,73.38,92.39,85.94,11.71,98.39,98.00,8.80,5.60,75.11,39.25,75.35,99.20,96.12,4.03,4.23,89.17,7.28,3.10
Bahrain,55.63,97.11,98.03,8.49,97.46,99.69,13.20,6.10,80.02,9.68,89.39,100.00,98.91,0.93,1.18,97.41,0.99,1.01
"Bahamas, The",15.10,76.89,81.40,11.26,91.92,97.19,11.49,15.40,71.21,26.02,83.13,100.00,99.00,1.94,10.05,85.26,11.90,2.49
Bosnia and Herzegovina,40.19,107.51,100.09,11.23,98.10,99.90,8.82,5.10,77.24,10.22,48.63,100.00,88.72,2.16,15.69,75.10,19.07,0.56
Belarus,87.76,102.08,98.45,13.33,99.87,99.87,9.30,2.40,74.23,11.83,79.04,100.00,92.85,4.54,4.16,95.73,3.39,5.60
Belize,24.99,86.39,110.49,22.20,82.78,87.00,18.89,10.60,73.93,64.40,45.87,92.72,98.41,1.12,9.05,64.76,29.98,0.19
Bolivia,41.33,89.98,98.53,13.52,92.46,99.40,22.32,21.70,67.84,65.63,69.77,95.08,93.00,1.59,3.68,36.57,59.70,1.84
Brazil,55.14,103.95,107.41,15.96,93.23,99.20,13.63,13.40,75.34,50.02,86.82,99.80,70.65,2.31,12.05,66.92,28.33,3.73
Barbados,65.40,102.71,100.34,10.78,99.60,99.90,10.89,11.70,77.26,42.16,31.16,100.00,99.00,2.48,8.41,80.45,19.03,4.10
Brunei Darussalam,30.77,92.10,100.10,11.44,97.21,99.71,14.59,9.50,74.75,9.96,77.94,100.00,99.90,1.61,6.92,91.02,6.27,-0.39
Bhutan,15.57,90.09,99.54,20.38,66.56,93.09,12.87,23.90,71.39,19.66,41.61,100.00,52.88,0.46,2.72,27.65,72.25,2.73
Botswana,25.08,73.60,100.10,15.35,86.82,97.00,24.89,29.90,65.46,51.15,70.17,70.10,73.06,0.37,20.09,69.74,27.89,2.77
Central African Republic,2.98,17.14,128.09,9.80,37.40,38.27,41.92,78.60,55.03,162.61,41.77,14.30,11.78,0.06,5.76,5.95,93.18,2.69
Canada,75.70,114.33,100.99,11.74,99.00,99.00,9.90,4.50,82.23,6.89,81.48,100.00,99.04,2.44,5.66,84.77,10.84,1.95
Central Europe and the Baltics,63.35,100.84,95.29,11.33,99.34,99.51,9.91,4.09,77.27,19.39,62.44,99.95,91.62,3.10,3.78,82.29,14.37,2.66
Switzerland,63.31,102.34,105.79,15.56,98.76,99.60,10.00,3.50,83.90,2.19,73.85,100.00,96.70,4.34,4.39,85.63,8.81,0.36
Chile,93.10,103.67,102.37,21.23,96.40,99.01,11.86,6.10,80.33,24.13,87.64,100.00,98.77,2.66,7.27,72.79,23.03,2.56
China,53.76,88.17,101.93,11.23,96.84,99.78,10.41,5.90,77.97,12.94,60.31,100.00,97.09,2.23,4.56,53.96,41.85,2.90
Cote d'Ivoire,9.95,54.61,100.32,17.38,89.89,83.63,34.55,59.00,59.32,107.17,51.24,68.57,27.19,0.16,2.40,28.28,70.07,-1.11
Cameroon,12.80,44.28,105.75,14.09,77.07,85.08000183,36.15,50.10,61.58,114.53,56.97,63.18,69.59,0.09,3.63,25.54,71.38,2.45
